                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     25,               0.027848,               0.016801,               0.018374,               0.008967,                0.77916,                0.73811,                0.80842,                0.60428,                0.77641,                0.73573,                 0.8076,                0.65077,               0.025767,               0.017262,               0.010364,               0.012753,               0.007624,               0.007624,               0.007624
                     26,               0.027276,               0.015748,               0.017916,              0.0085842,                0.80545,                0.80316,                0.84067,                0.62347,                0.80478,                0.80364,                0.83812,                 0.6531,               0.024439,               0.016771,               0.010159,                0.01112,               0.007525,               0.007525,               0.007525
                     27,               0.027456,               0.016172,               0.018296,              0.0083519,                0.82497,                0.78114,                0.85524,                 0.6499,                0.82494,                0.78097,                0.85292,                0.67668,               0.022442,               0.016688,               0.010122,               0.011026,               0.007426,               0.007426,               0.007426
                     28,               0.026969,               0.016154,               0.017903,              0.0086333,                0.78723,                0.85937,                0.85364,                 0.6423,                0.77909,                0.85125,                0.84681,                0.67873,               0.024193,               0.016496,               0.011154,              0.0095005,               0.007327,               0.007327,               0.007327
                     29,               0.026506,               0.016643,               0.018134,              0.0081166,                0.83469,                0.81491,                0.83904,                0.64132,                0.82843,                0.81015,                0.83486,                0.69523,               0.024593,               0.015358,               0.011064,              0.0098457,               0.007228,               0.007228,               0.007228
                     30,               0.026561,               0.016418,               0.018108,              0.0083279,                0.83838,                0.80716,                0.83653,                0.67298,                0.83838,                0.80716,                0.83718,                0.69833,               0.021995,               0.014646,               0.010316,               0.012306,               0.007129,               0.007129,               0.007129
                     31,               0.025714,               0.016153,               0.017835,              0.0076414,                0.76717,                0.78775,                0.82452,                0.63086,                0.76717,                0.78775,                0.82401,                0.67304,               0.024139,               0.016029,               0.011899,                0.01296,                0.00703,                0.00703,                0.00703
                     32,               0.025476,               0.015569,               0.017316,               0.008036,                0.86118,                0.80335,                0.86698,                 0.6708,                0.86118,                0.80335,                0.86587,                0.69738,               0.022635,               0.014706,               0.010387,              0.0093079,               0.006931,               0.006931,               0.006931
                     33,               0.025047,               0.015538,               0.017346,              0.0076026,                0.82617,                0.82952,                0.87631,                 0.7071,                0.82306,                0.82714,                0.87369,                0.71864,               0.020944,               0.014581,               0.010158,               0.010405,               0.006832,               0.006832,               0.006832
                     34,               0.024207,               0.015553,               0.016832,              0.0079244,                0.84233,                0.81869,                0.87221,                0.68435,                0.82325,                0.83019,                0.87029,                0.71239,               0.022536,               0.015785,               0.010692,               0.009222,               0.006733,               0.006733,               0.006733
                     35,               0.024344,               0.015305,                0.01702,              0.0077439,                0.76623,                0.80733,                0.85259,                0.67699,                0.76623,                0.80733,                0.85015,                0.69452,               0.022022,               0.014493,               0.010266,               0.012062,               0.006634,               0.006634,               0.006634
                     36,               0.023865,               0.015199,               0.016482,              0.0074339,                0.80658,                 0.8363,                0.85268,                 0.6879,                0.80107,                0.83948,                0.84902,                0.70791,               0.021541,               0.014597,               0.010655,              0.0092869,               0.006535,               0.006535,               0.006535
                     37,               0.023756,               0.015177,               0.016908,              0.0075581,                0.86845,                0.80745,                0.86847,                0.70221,                0.86469,                0.80572,                0.86586,                 0.7135,               0.020127,               0.015123,                 0.0098,                0.01009,               0.006436,               0.006436,               0.006436
                     38,                0.02372,                0.01511,               0.016919,              0.0072154,                0.77003,                0.81864,                0.85097,                0.64611,                0.79199,                0.79854,                 0.8554,                0.68131,               0.022661,               0.014214,               0.010427,               0.010746,               0.006337,               0.006337,               0.006337
                     39,               0.023615,               0.015203,                0.01629,              0.0069457,                0.79489,                0.81697,                0.83974,                 0.6745,                0.79621,                0.81785,                0.83864,                0.69044,               0.021324,               0.014191,               0.010219,               0.011778,               0.006238,               0.006238,               0.006238
                     40,               0.023375,               0.015009,               0.016656,              0.0070885,                0.88046,                0.85614,                0.89334,                0.73945,                0.88046,                0.85614,                0.89083,                0.74663,               0.019665,               0.014578,              0.0090761,              0.0084295,               0.006139,               0.006139,               0.006139
                     41,                0.02358,               0.015066,               0.016848,              0.0064202,                0.84829,                0.80089,                0.84846,                0.66394,                0.85119,                0.80392,                0.84957,                0.70178,               0.022116,               0.015415,               0.010231,               0.010534,                0.00604,                0.00604,                0.00604
                     42,               0.022886,               0.015213,               0.016222,              0.0067999,                0.86183,                0.82794,                0.86918,                0.70051,                0.86298,                0.82956,                0.86562,                0.71244,               0.019735,               0.014691,               0.009656,              0.0089092,               0.005941,               0.005941,               0.005941
                     43,                0.02282,               0.014673,               0.016253,              0.0063975,                0.86795,                0.83316,                0.86346,                0.69309,                0.86795,                0.83316,                 0.8613,                0.71635,               0.021523,               0.016061,               0.010021,              0.0082159,               0.005842,               0.005842,               0.005842
                     44,                0.02312,               0.014672,               0.016295,              0.0061354,                0.84326,                0.83376,                0.86834,                0.70863,                0.83874,                0.83137,                0.86539,                0.71385,               0.020715,               0.014871,               0.010747,               0.010536,               0.005743,               0.005743,               0.005743
                     45,               0.022393,               0.014782,               0.016102,              0.0060205,                0.80227,                0.78887,                0.83484,                 0.6692,                0.80227,                0.78887,                0.83322,                 0.6815,               0.022422,               0.015917,               0.010654,                0.01053,               0.005644,               0.005644,               0.005644
                     46,               0.021919,               0.014241,               0.015847,              0.0062496,                0.82794,                 0.8474,                0.87073,                0.71839,                0.82219,                0.84663,                0.86355,                0.73116,               0.019745,               0.014694,              0.0098381,               0.008153,               0.005545,               0.005545,               0.005545
                     47,               0.021555,               0.014745,               0.015664,              0.0062373,                0.83818,                 0.8041,                0.84853,                0.69142,                0.82766,                0.79941,                 0.8392,                0.70847,               0.020885,               0.015467,               0.010387,               0.011376,               0.005446,               0.005446,               0.005446
                     48,               0.021911,               0.014257,               0.015536,              0.0056548,                 0.8379,                0.87657,                0.88305,                0.72071,                0.83491,                 0.8744,                0.88015,                0.73619,               0.020403,               0.014564,               0.010335,                  0.007,               0.005347,               0.005347,               0.005347
                     49,               0.021662,               0.014136,               0.015494,               0.005447,                0.83311,                0.84181,                0.85216,                0.69887,                0.82934,                0.83942,                0.84834,                0.70958,               0.021206,               0.015264,               0.011209,              0.0082293,               0.005248,               0.005248,               0.005248
                     50,               0.021283,               0.013991,               0.015186,              0.0055357,                0.88268,                0.80071,                0.86425,                0.71695,                0.87345,                0.80887,                0.86243,                0.72477,               0.020735,               0.015061,               0.010784,              0.0096703,               0.005149,               0.005149,               0.005149
                     51,               0.021087,               0.014203,               0.015277,              0.0055949,                0.81764,                0.81431,                0.82355,                0.66317,                0.81277,                0.81208,                0.82103,                0.67093,               0.022979,               0.017874,               0.012486,              0.0098705,                0.00505,                0.00505,                0.00505
                     52,               0.020816,               0.013735,               0.015166,              0.0053975,                0.85525,                0.81936,                0.86113,                0.70165,                0.85475,                0.82009,                 0.8616,                0.72365,               0.020852,               0.014567,               0.010718,              0.0097065,               0.004951,               0.004951,               0.004951
                     53,               0.020951,                 0.0144,               0.015201,              0.0055274,                0.84172,                0.82239,                0.86186,                 0.7018,                0.84054,                0.82453,                0.85894,                0.72294,               0.021182,                0.01466,                0.01049,              0.0082865,               0.004852,               0.004852,               0.004852
